,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
689,007110,KR7007110000,일신석재,KOSPI,,1251,2,-7,-0.56,1260,1260,1240,142060,177391404,96898219110,77456610,STK
690,014710,KR7014710008,사조씨푸드,KOSPI,,5590,3,0,0.0,5590,5620,5450,110630,612293690,96251655370,17218543,STK
691,001620,KR7001620004,케이비아이동국실업,KOSPI,,954,1,18,1.92,941,981,915,1046522,1002672868,95660457264,100273016,STK
692,009810,KR7009810003,플레이그램,KOSPI,,753,2,-16,-2.08,762,774,747,741075,560681384,95442890811,126750187,STK
693,004840,KR7004840005,DRB동일,KOSPI,,4720,2,-20,-0.42,4750,4930,4685,98502,471318135,94069600000,19930000,STK
694,005740,KR7005740006,크라운해태홀딩스,KOSPI,,6330,2,-80,-1.25,6390,6450,6260,33076,209041410,93983706510,14847347,STK
695,014790,KR7014790000,HL D&I,KOSPI,,2480,2,-10,-0.4,2490,2495,2460,28873,71396885,93889330480,37858601,STK
696,145210,KR7145210001,다이나믹디자인,KOSPI,,5470,1,655,13.6,4870,6070,4860,10500552,59188059255,93484373130,17090379,STK
697,002720,KR7002720001,국제약품,KOSPI,,4400,2,-115,-2.55,4510,4550,4375,116185,513403160,93103260800,21159832,STK
698,005870,KR7005870001,휴니드,KOSPI,,6590,2,-170,-2.51,6750,6750,6510,55810,368923520,93024538850,14116015,STK
699,075180,KR7075180000,새론오토모티브,KOSPI,,4825,2,-30,-0.62,4835,4855,4775,18323,88028485,92640000000,19200000,STK
700,004910,KR7004910006,조광페인트,KOSPI,,7150,2,-110,-1.52,7250,7250,7100,23044,165226070,91520000000,12800000,STK
701,002220,KR7002220002,한일철강,KOSPI,,3425,1,140,4.26,3290,3490,3290,79776,272679600,91438800500,26697460,STK
702,010960,KR7010960003,삼호개발,KOSPI,,3645,2,-15,-0.41,3655,3670,3590,15482,56209805,91125000000,25000000,STK
703,004960,KR7004960001,한신공영,KOSPI,,7820,2,-100,-1.26,7920,7970,7790,20492,160594070,90482889640,11570702,STK
704,027740,KR7027740000,마니커,KOSPI,,1424,1,46,3.34,1399,1450,1358,998015,1398513853,90439988672,63511228,STK
705,003780,KR7003780004,진양산업,KOSPI,,6950,2,-50,-0.71,7000,7200,6830,106786,745252820,90350000000,13000000,STK
706,009835,KR7009831009,한화솔루션우,KOSPI,,34850,2,-550,-1.55,35400,35450,34850,10770,376290700,89750912650,2575349,STK
707,078000,KR7078000007,텔코웨어,KOSPI,,9230,2,-100,-1.07,9330,9350,9230,3106,28893340,89555976380,9702706,STK
708,001260,KR7001260009,남광토건,KOSPI,,9100,2,-250,-2.67,9240,9350,9100,14405,132508220,89476405200,9832572,STK
709,017180,KR7017180001,명문제약,KOSPI,,2615,2,-45,-1.69,2670,2670,2580,56553,147486065,88788282210,33953454,STK
710,008110,KR7008110009,대동전자,KOSPI,,8420,2,-20,-0.24,8470,8480,8250,16965,141680000,88329563740,10490447,STK
711,163560,KR7163560006,동일고무벨트,KOSPI,,6350,2,-60,-0.94,6350,6490,6330,13414,85822770,88265000000,13900000,STK
712,357430,KR7357430008,마스턴프리미어리츠,KOSPI,,3315,2,-5,-0.15,3325,3355,3310,28366,94228160,88112700000,26580000,STK
713,002360,KR7002360006,SH에너지화학,KOSPI,,786,2,-15,-1.87,802,805,785,1099570,870323884,87351111780,111133730,STK
714,006880,KR7006880009,신송홀딩스,KOSPI,,7350,2,-800,-9.82,8220,8230,7260,1081899,8290635220,86942106300,11828858,STK
