유동비율,자기자본이익률,자기자본성장률,총자산회전율,매출총이익성장률,총자산이익률,label
230.64,1.78,29.68,0.0,132.8,1.14,0
1772.26,0.9,19.83,4.63,80.52,0.77,0
206.71,1.28,4.9,0.0,137.14,0.96,0
331.0,0.0,9.05,23.32,6.59,0.0,0
576.1,4.06,10.84,30.85,11.61,3.49,0
606.1,3.86,18.73,0.0,13.2,3.14,0
524.22,3.06,11.12,0.0,13.03,2.69,0
106.36,0.3,11.22,13.04,22.55,0.15,0
488.33,-0.74,46.73,0.0,36.81,-0.62,0
581.22,-1.82,29.75,10.92,22.48,-1.52,0
107.31,-4.39,13.48,7.3,24.92,-2.09,0
262.59,0.0,6.21,13.55,2.69,0.0,1
286.69,-4.86,80.23,0.0,-75.08,-2.69,0
242.33,0.64,12.81,0.0,34.83,0.52,0
60.94,-3.79,-12.72,0.0,-3.84,-2.08,0
151.0,3.04,10.92,15.43,1.68,1.66,0
39.0,-2.76,-7.32,0.0,-21.41,-0.9,0
151.18,3.02,20.02,23.56,-0.73,1.54,0
150.28,0.0,12.04,23.04,30.65,0.0,0
218.54,0.0,180.69,22.46,9.69,0.0,0
184.11,3.1,10.19,0.0,12.93,1.93,0
144.72,8.0,128.18,0.0,30.17,3.85,0
355.44,-0.11,-2.73,15.38,7.29,-0.09,0
107.89,0.37,38.96,0.0,243.84,0.17,0
95.94,2.22,27.72,14.31,7.76,0.96,0
727.91,0.02,0.04,0.0,2.94,0.02,0
1782.05,10.73,13.45,0.0,-35.03,6.4,0
120.99,-4.25,-15.79,0.0,-107.81,-2.18,1
120.38,0.8,2.29,17.54,14.08,0.6,0
63.32,-0.24,18.33,18.67,-8.27,-0.05,0
778.67,5.24,20.28,24.76,22.04,4.54,0
305.17,3.9,12.83,0.0,47.15,2.79,0
369.85,5.41,17.75,0.0,7.57,4.52,0
264.92,2.75,11.3,14.17,11.63,1.92,0
174.46,-0.47,-1.4,0.0,-18.62,-0.33,1
585.87,0.0,21.21,0.0,94.01,0.0,0
141.55,1.71,6.75,0.0,-40.19,0.71,0
67.89,-14.43,-29.37,18.03,-128.75,-3.25,0
175.56,1.12,1.33,0.0,-14.8,0.68,0
240.56,3.42,14.8,18.39,24.53,2.27,0
570.04,0.0,15.96,16.7,15.59,0.0,0
439.63,0.0,6.79,33.29,-5.21,0.0,0
460.43,1.6,4.95,0.0,35.61,1.39,0
127.09,7.49,32.18,0.0,6.4,4.05,0
63.61,1.01,4.81,0.0,-7.5,0.43,0
153.89,0.81,6.88,0.0,-4.29,0.56,0
174.57,7.71,35.18,33.08,65.55,4.57,1
111.11,1.29,3.4,12.39,6.26,0.78,0
136.71,0.79,2.09,0.0,-4.29,0.52,1
179.55,4.78,20.26,0.0,-8.99,3.66,0
64.22,1.87,11.94,25.01,5.4,0.64,0
58.28,1.9,8.17,38.86,76.07,0.15,0
59.4,-1.59,-7.1,9.37,0.43,-1.04,0
64.21,10.73,-72.95,0.0,-322.19,-10.28,0
140.46,-0.32,-6.59,11.18,61.99,-0.24,0
527.14,0.0,2.49,8.74,19.91,0.0,0
87.66,0.0,206.31,10.24,10.58,0.0,0
250.12,0.0,-6.8,23.56,31.74,0.0,0
222.43,0.47,95.51,0.0,11.82,0.19,0
942.52,0.5,0.41,14.4,-23.14,0.44,0
121.18,0.0,-3.68,0.0,-24.13,0.0,0
852.6,1.31,4.42,9.98,4.8,1.2,0
118.84,0.0,4.55,28.12,8.21,0.0,0
59.44,0.0,-3.81,25.05,-7.0,0.0,0
150.24,0.96,0.93,0.0,57.14,0.56,0
1181.18,0.68,1.61,10.86,-15.58,0.64,0
303.57,2.27,5.68,31.33,16.14,1.82,0
190.0,3.07,8.19,26.41,23.93,2.04,0
105.17,0.22,-1.35,0.0,20.44,0.13,0
107.95,10.73,67.22,0.0,-16.8,5.04,0
602.87,1.56,5.81,29.51,78.64,1.28,0
134.92,0.3,-1.71,21.21,10.51,0.16,0
523.1,1.25,3.51,0.0,14.1,1.07,0
130.92,0.44,27.15,6.07,-38.17,0.31,0
175.63,2.26,8.0,37.11,-22.04,1.59,0
161.72,0.0,16.51,29.85,117.08,0.0,0
236.74,0.0,17.47,25.17,7.01,0.0,0
368.98,2.07,5.94,0.0,6.56,1.68,0
136.14,0.0,1.32,29.07,17.57,0.0,0
110.97,0.0,8.48,25.54,0.7,0.0,0
636.04,-0.17,-0.49,0.0,-29.47,-0.14,0
137.79,1.54,2.0,0.0,36.52,0.9,0
72.56,-3.85,-12.45,30.68,-12.44,-0.84,0
54.61,-22.64,-11.52,9.03,-78.02,-3.12,0
77.28,0.0,3.76,28.96,100.32,0.0,0
150.14,2.2,1.81,24.97,-2.11,1.2,0
73.87,-0.13,-0.66,0.0,-23.45,-0.04,0
129.94,5.34,21.74,31.44,20.63,2.66,0
70.86,0.0,-5.39,16.19,-55.01,0.0,0
114.08,0.0,12.6,19.15,29.77,0.0,0
205.03,0.85,2.33,0.0,-6.74,0.57,0
437.83,0.0,8.79,0.0,8.32,0.0,0
193.62,2.28,6.9,0.0,8.08,1.44,0
277.67,1.08,6.36,16.3,-8.93,0.77,0
28.6,-0.81,-2.67,0.0,5.63,-0.38,0
441.7,1.28,4.68,23.26,21.7,1.14,0
597.87,0.63,0.73,0.0,-8.64,0.55,0
92.99,0.0,14.6,35.84,353.24,0.0,0
164.65,0.6,0.35,22.55,-30.76,0.39,0
180.0,1.45,4.74,0.0,-5.21,0.82,0
219.51,0.83,1.89,25.38,18.41,0.57,0
75.02,1.44,5.05,0.0,16.35,0.68,0
218.09,3.17,10.37,0.0,56.98,2.02,0
92.57,-0.16,2.9,0.0,-10.36,-0.09,0
125.73,-0.61,7.81,0.0,-2.82,-0.24,0
70.52,-13.03,-34.8,21.89,-78.66,-3.97,0
285.41,2.76,5.06,0.0,-39.08,2.1,0
329.95,0.54,-4.74,0.0,-35.38,0.44,0
113.43,0.83,1.48,16.3,-29.63,0.4,0
173.61,5.98,25.2,0.0,17.08,2.22,0
374.17,1.53,2.37,0.0,16.52,1.25,0
231.61,2.48,10.43,15.46,7.33,1.32,0
120.36,0.53,2.25,0.0,14.59,0.18,0
225.96,0.51,-0.71,0.0,59.27,0.28,0
104.33,2.82,13.89,0.0,2.25,1.24,0
632.0,0.0,2.78,11.37,-36.86,0.0,0
192.97,-0.6,8.32,19.99,4.79,-0.39,0
376.89,0.9,-1.35,0.0,1.49,0.76,0
56.71,-2.6,-11.89,14.94,1.91,-0.78,0
128.58,-0.28,-1.86,0.0,16.74,-0.17,0
590.06,1.73,14.04,31.45,-18.66,1.44,0
115.67,3.1,11.19,0.0,18.87,1.54,0
59.01,0.25,1.16,14.07,31.71,0.13,0
78.24,-1.23,-4.95,3.03,20.08,-0.7,0
50.12,0.37,2.07,25.3,11.76,0.08,0
138.33,0.61,2.46,0.0,-5.22,0.47,0
