종목코드,회사명,결산월,결산년도,유동비율,당좌비율,부채비율,자기자본비율,차입금의존도,현금비율,순운전자본비율,자기자본이익률,총자산이익률,자산성장률,자기자본성장률,매출총이익성장률,총자산회전율,재고자산회전율,순운전자본회전율,총부채상환능력비율,label
[002140],고려산업,12,2015,110.1,84.57,50.61,49.39,102.46,19.59,4.77,1.7,0.82,-1.72,4.26,2.02,30.93,222.03,1646.94,11.52,0
[010130],고려아연,12,2015,668.64,381.5,8.43,91.57,9.2,23.55,33.69,0.0,0.0,5.56,8.62,2.06,19.35,99.86,148.24,194.04,0
[002240],고려제강,12,2015,98.83,66.84,24.49,75.51,32.43,0.15,-0.22,0.46,0.34,-3.74,1.0,-6.07,9.23,140.21,-3223.04,18.54,0
[014570],고려제약,12,2015,553.36,417.63,16.08,83.92,19.16,44.06,55.96,0.0,0.0,-4.79,1.82,-1.05,0.0,0.0,0.0,64.43,0
[098460],고영,12,2015,614.05,552.74,16.61,83.39,19.91,94.56,65.3,4.62,3.85,12.9,12.86,10.04,0.0,0.0,0.0,57.0,0
[009290],광동제약,12,2015,207.43,141.49,33.03,66.97,49.33,17.98,23.47,2.57,1.77,18.44,11.46,11.24,0.0,0.0,0.0,14.07,0
[014200],광림,12,2015,105.95,66.32,44.72,55.28,80.89,33.25,2.21,2.2,1.18,-40.24,-37.27,5.34,0.0,0.0,0.0,-4.07,0
[017040],광명전기,12,2015,198.38,164.78,33.83,66.17,51.13,117.58,29.02,1.24,0.76,-10.08,5.53,-39.97,20.44,184.75,201.38,37.66,0
[017900],광전자,12,2015,744.8,658.43,13.75,86.25,15.95,64.0,50.38,-0.38,-0.33,-7.17,-7.7,427.12,0.0,0.0,0.0,52.06,0
[037710],광주신세계,12,2015,28.6,18.97,25.49,74.51,34.21,6.62,-20.27,0.0,0.0,1.03,9.53,3.01,7.82,1044.54,-119.57,31.0,0
[026910],광진실업,12,2015,242.87,92.86,32.67,67.33,48.53,36.1,30.52,-0.11,-0.07,-2.26,1.23,-25.97,0.0,0.0,0.0,25.75,0
[053270],구영테크,12,2015,104.08,87.09,57.12,42.88,133.2,14.53,1.57,1.85,0.78,1.2,4.42,7.69,21.32,296.3,-3223.04,15.97,0
[007690],국도화학,12,2015,200.11,151.72,30.37,69.63,43.62,14.22,25.66,0.0,0.0,8.79,13.1,82.9,32.47,250.19,324.56,28.71,0
[005320],국동,12,2015,95.3,57.41,66.19,33.81,195.78,2.26,-2.57,7.24,2.22,24.07,56.21,-11.35,0.0,0.0,0.0,3.03,0
[001140],국보,12,2015,50.18,49.38,78.65,21.35,368.4,0.4,-31.9,-4.83,-1.1,-8.49,-18.45,-1.29,0.0,0.0,-0.0,-1.1,0
[043650],국순당,12,2015,725.29,622.16,8.55,91.45,9.35,240.64,35.12,-0.65,-0.59,-1.1,-0.39,-24.72,9.16,158.3,69.52,-29.96,0
[006050],국영지앤엠,12,2015,222.09,211.5,23.14,76.86,30.1,99.18,24.09,-0.28,-0.22,8.0,3.67,-83.59,16.34,641.28,174.87,4.39,0
[078130],국일제지,12,2015,83.8,52.8,50.23,49.77,100.94,13.91,-7.56,9.01,3.37,-12.55,63.28,-9.84,9.58,50.4,-206.61,-20.56,0
[044180],국제디와이,12,2015,147.3,83.55,51.63,48.37,106.72,10.01,23.71,1.47,0.75,41.17,24.48,760.97,0.0,0.0,0.0,11.78,1
[002720],국제약품공업,12,2015,223.9,160.06,48.51,51.49,94.23,0.78,26.26,-2.59,-1.24,13.38,33.94,8.8,22.44,134.09,259.61,-7.17,1
[014530],극동유화,12,2015,208.33,160.85,27.85,72.15,38.6,27.52,27.34,3.0,2.03,-2.85,10.01,14.5,0.0,0.0,0.0,32.94,0
[014280],금강공업,12,2015,66.08,48.04,59.98,40.02,149.89,10.81,-18.19,1.37,0.54,0.91,4.31,-7.3,0.0,0.0,-0.0,1.57,0
[053260],금강철강,12,2015,425.26,377.67,19.65,80.35,24.45,114.93,58.09,1.55,1.24,2.71,4.34,1.28,0.0,0.0,0.0,25.09,0
[058370],금성테크,12,2015,109.24,101.8,43.84,56.16,78.07,2.56,4.02,-19.75,-11.93,60.78,34.36,340.67,16.5,363.72,454.54,-33.66,1
[001570],금양,12,2015,61.98,52.83,70.34,29.66,237.17,6.8,-24.89,1.25,0.39,8.5,0.48,20.72,0.0,0.0,-0.0,4.72,0
[214330],금호에이치티,12,2015,324.46,240.4,24.92,75.08,33.18,0.66,51.04,0.0,0.0,6.84,32.43,31.84,42.93,240.51,239.27,0.0,0
[130500],금호엔티,12,2015,219.65,196.55,26.77,73.23,36.55,37.95,27.68,0.0,0.0,-4.32,5.11,6.57,0.0,0.0,0.0,15.5,1
[001210],금호전기,12,2015,87.22,63.75,46.16,53.84,85.75,3.2,-3.94,-2.42,-1.26,-14.56,-9.47,-48.15,0.0,0.0,-0.0,-16.8,0
[073240],금호타이어,12,2015,78.65,64.25,58.9,41.1,143.32,6.03,-8.59,-0.83,-0.34,-2.68,-3.49,-40.59,17.79,316.97,-1252.4,3.22,0
[049080],기가레인,12,2015,77.64,65.08,55.93,44.07,126.93,26.95,-8.17,-4.92,-2.49,11.49,-15.07,-162.93,10.87,169.76,-790.75,-0.42,0
[035460],기산텔레콤,12,2015,292.83,254.09,28.16,71.84,39.2,157.77,45.43,0.38,0.26,-0.71,6.3,-11.38,21.13,220.26,131.51,41.4,0
[013700],까뮤이앤씨,12,2015,100.49,98.26,64.63,35.37,182.76,5.15,0.24,3.17,1.0,-0.14,28.26,32.69,0.0,0.0,-0.0,9.4,0
[004540],깨끗한나라,12,2015,53.91,32.88,60.8,39.2,155.13,1.08,-22.37,-0.27,-0.1,9.0,11.07,-0.12,0.0,0.0,-0.0,5.62,0
[187790],나노,12,2015,122.44,71.71,56.13,43.87,127.94,10.42,7.09,-10.78,-3.75,12.21,99.67,-139.57,5.42,32.81,700.57,-24.72,0
[121600],나노신소재,12,2015,944.74,487.1,10.59,89.41,11.84,199.97,64.77,2.85,2.5,15.37,20.07,60.15,0.0,0.0,0.0,125.15,0
[039860],나노엔텍,12,2015,727.32,635.63,16.26,83.74,19.41,184.69,39.42,-2.44,-2.04,26.77,27.59,-34.68,8.9,120.58,56.77,-34.03,0
[091970],나노캠텍,12,2015,105.99,94.75,29.31,70.69,41.46,9.29,1.38,-2.75,-1.99,-7.88,-11.37,-37.61,14.24,578.55,787.06,8.74,0
[051490],나라엠앤디,12,2015,118.55,59.06,47.23,52.77,89.5,3.41,8.03,0.0,0.0,1.65,6.14,-10.69,19.57,71.52,657.29,4.17,0
[190510],나무가,12,2015,161.1,159.25,59.57,40.43,147.35,11.46,34.22,4.88,1.57,48.38,200.8,159.27,53.8,6902.52,573.17,25.77,0
[138610],나이벡,12,2015,245.43,207.0,44.32,55.68,79.59,72.1,24.07,-7.63,-3.61,37.32,113.0,1.8,0.0,0.0,0.0,-24.78,0
[036800],나이스정보통신,12,2015,123.05,120.46,57.39,42.61,134.7,36.2,13.16,6.95,2.84,18.22,29.45,41.29,0.0,0.0,0.0,14.18,0
[001260],남광토건,12,2015,98.6,97.75,82.62,17.38,475.3,18.26,-0.93,10.73,-5.1,-40.67,-72.95,37.84,20.44,1300.84,-2423.3,4.62,0
[008350],남선알미늄,12,2015,107.58,76.34,63.98,36.02,177.59,6.16,3.92,3.91,1.41,19.05,17.84,13.08,33.27,258.9,3258.47,-7.83,0
[003920],남양유업,12,2015,398.14,251.14,14.52,85.48,16.98,37.33,33.72,0.75,0.64,3.28,2.86,15.18,0.0,0.0,0.0,54.34,0
[025860],남해화학,12,2015,250.15,161.25,25.44,74.56,34.12,72.93,36.85,1.36,0.99,-0.55,4.72,8.31,53.8,224.17,425.72,66.66,0
[168330],내츄럴엔도텍,12,2015,111.64,78.74,27.87,72.13,38.64,39.32,2.87,-7.0,-5.39,-23.3,-31.5,-63.78,14.2,135.3,340.25,-36.96,0
[212560],네오오토,12,2015,117.92,100.92,49.07,50.93,96.35,59.62,4.54,3.7,1.81,32.47,45.48,2.18,0.0,0.0,0.0,39.04,0
[085910],네오티스,12,2015,162.28,139.85,27.47,72.53,37.87,41.63,13.94,-1.8,-1.36,0.28,-7.41,-19.53,11.07,232.47,242.93,25.89,0
[092730],네오팜,12,2015,312.35,254.83,19.27,80.73,23.87,108.45,38.78,2.67,2.23,12.76,4.75,41.7,23.58,253.55,146.09,78.28,0
[007390],네이처셀,12,2015,173.5,134.46,31.07,68.93,45.07,50.03,18.05,-1.47,-0.95,87.35,130.48,128.81,0.0,0.0,0.0,6.83,0
[033640],네패스,12,2015,87.89,77.22,55.81,44.19,126.27,31.83,-4.1,1.79,0.74,-6.98,7.15,51.78,0.0,0.0,-0.0,27.9,0
[002350],넥센타이어,12,2015,172.96,141.02,54.71,45.29,120.8,12.43,12.72,3.31,1.44,2.45,10.59,13.16,0.0,0.0,0.0,21.17,0
[137940],넥스트아이,12,2015,360.72,343.88,15.5,84.5,18.35,75.81,32.92,1.54,1.29,1.43,3.49,-18.19,0.0,0.0,0.0,48.26,0
[092600],넥스트칩,12,2015,508.96,406.27,15.38,84.62,18.17,108.12,55.1,4.29,3.61,17.24,18.83,76.89,0.0,0.0,0.0,64.85,0
[006280],녹십자,12,2015,252.24,138.97,27.29,72.71,37.54,20.36,30.76,0.0,0.0,7.38,10.86,8.97,17.86,78.36,163.19,16.87,0
[142280],녹십자엠에스,12,2015,141.96,92.8,53.38,46.62,114.49,2.12,20.4,0.55,0.29,30.32,0.48,-13.02,37.21,151.32,370.13,-12.08,0
[069140],누리플랜,12,2015,160.48,149.48,46.98,53.02,88.6,20.9,24.2,0.71,0.37,-3.02,3.55,760.97,24.3,580.27,427.11,-4.59,0
[126870],뉴로스,12,2015,308.19,201.36,34.61,65.39,52.93,7.84,45.72,0.6,0.35,1.53,30.27,-16.13,11.86,55.52,82.28,12.97,0
[060260],뉴보텍,12,2015,177.31,147.23,41.98,58.02,72.36,51.1,28.58,1.48,0.86,6.64,5.78,20.93,32.06,235.03,298.95,39.08,0
[012340],뉴인텍,12,2015,68.25,47.05,61.19,38.81,157.67,1.7,-16.86,-0.29,-0.11,-3.94,-0.09,186.96,21.65,187.43,-338.68,11.51,0
[085670],뉴프렉스,12,2015,110.2,57.19,65.37,34.63,188.73,2.86,4.78,-1.27,-0.46,18.77,9.68,-42.11,26.98,113.86,1289.51,-1.65,0
[039560],다산네트웍스,12,2015,74.71,70.18,45.45,54.55,83.33,14.72,-5.44,-0.39,-0.22,10.44,0.37,-66.51,6.2,135.9,868.53,1.58,0
[023590],다우기술,12,2015,141.86,134.73,36.89,63.11,58.46,37.91,8.72,1.02,0.67,12.45,2.81,1.62,8.92,596.99,368.24,0.0,0
[032190],다우데이타,12,2015,67.53,60.26,45.54,54.46,83.61,16.83,-13.29,1.33,0.67,-0.36,16.56,-4.31,13.64,432.69,-245.17,10.75,0
[068240],다원시스,12,2015,398.91,395.38,32.96,67.04,49.16,33.18,43.29,2.27,1.39,60.27,104.61,23.54,0.0,0.0,0.0,-12.07,0
[020400],대동금속,12,2015,64.0,43.17,58.2,41.8,139.24,0.14,-12.97,0.84,0.31,13.37,52.01,26.19,24.64,296.79,-459.07,19.45,0
[008830],대동기어,12,2015,87.16,51.45,61.61,38.39,160.46,0.14,-5.5,0.0,0.0,15.25,26.9,12.88,18.46,123.42,-874.68,9.78,0
[048470],대동스틸,12,2015,638.24,502.77,10.34,89.66,11.54,127.07,52.2,-2.2,-1.63,-34.89,-8.76,-57.93,31.37,146.51,200.08,202.65,0
[004780],대륙제관,12,2015,194.51,140.53,41.28,58.72,70.31,45.88,29.07,4.33,2.41,4.02,16.68,29.92,0.0,0.0,0.0,44.34,0
[005750],대림비앤코,12,2015,144.48,91.03,44.72,55.28,80.91,0.53,10.42,1.44,0.8,4.82,4.16,27.19,0.0,0.0,0.0,6.59,0
[017650],대림제지,12,2015,179.36,158.14,21.79,78.21,27.87,74.46,8.99,-3.37,-2.77,-4.96,-13.13,-73.14,0.0,0.0,0.0,7.58,0
[006570],대림통상,12,2015,126.86,86.75,43.3,56.7,76.38,4.81,9.59,-1.08,-0.6,-10.12,-6.26,-4.76,15.57,113.7,387.94,1.98,0
[078140],대봉엘에스,12,2015,712.93,529.39,12.37,87.63,14.12,75.48,60.32,2.94,2.59,12.83,11.14,20.49,0.0,0.0,0.0,84.62,0
